species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Vanellus_vanellus;Charadrii;Charadriidae;109;4;0.005433727;0.015433727;NO;0.155410733;57.592;11.976;99;4;1988;Before 2000;132;2259.9
Vanellus_vanellus;Charadrii;Charadriidae;109;17;0.0140639;0.0240639;NO;0.355368051;57.126;12.237;140;2;1986;Before 2000;54;1020
Vanellus_vanellus;Charadrii;Charadriidae;109;7;0.03437;0.04437;NO;0.661831426;57.009;-4.164;32;3;1985;Before 2000;247;4324
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;3;0.010055304;0.020055304;YES;0.227179219;50.195;15.977;105;8;1982;Before 2000;33;397.8
Actitis_macularius;Scolopaci+;Scolopacidae;111;1;0.018781924;0.028781924;YES;0.371571693;47.112;-94.372;76;15;1982;Before 2000;239;4365.9
Arenaria_interpres;Scolopaci+;Scolopacidae;4;2;0.005720006;0.015720006;YES;0.138063326;68.61;171.241;12;9;1976;Before 2000;47;699.3
Calidris_alba;Scolopaci+;Scolopacidae;9;1;0.014255168;0.024255168;YES;0.354616992;75.728;-99.094;11;2;1968;Before 2000;14;210.45
Calidris_alpina;Scolopaci+;Scolopacidae;10;5;0.028070175;0.038070175;YES;0.509235967;68.61;171.241;12;9;1976;Before 2000;46;570
Calidris_mauri;Scolopaci+;Scolopacidae;17;4;0.011814346;0.021814346;YES;0.257043104;61.725;-165.523;70;3;1997;Before 2000;215;2962.5
Calidris_mauri;Scolopaci+;Scolopacidae;17;3;0.033333333;0.043333333;YES;0.571531815;68.61;171.241;12;9;1976;Before 2000;20;240
Calidris_melanotos;Scolopaci+;Scolopacidae;18;2;0.026990553;0.036990553;YES;0.509042979;68.61;171.241;12;9;1976;Before 2000;23;296.4
Calidris_temminckii;Scolopaci+;Scolopacidae;24;2;0.024890482;0.034890482;YES;0.464790009;68.61;171.241;12;9;1976;Before 2000;16;200.88
Charadrius_alexandrinus;Charadrii;Charadriidae;45;1;0.036695267;0.046695267;YES;0.66182062;46.667;19.167;90;2;1991;Before 2000;58;926.55
Charadrius_bicinctus;Charadrii;Charadriidae;47;1;0.012288787;0.022288787;YES;0.318400105;-44.333;170.194;104;3;1999;Before 2000;39;651
Charadrius_dubius;Charadrii;Charadriidae;48;3;0;0.01;YES;0;50.195;15.977;105;10;1982;Before 2000;40;487.35
Charadrius_hiaticula;Charadrii;Charadriidae;50;5;0.022321429;0.032321429;YES;0.468515379;68.61;171.241;12;9;1976;Before 2000;19;268.8
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;0.042971562;YES;0.62178554;36.727;-121.796;93;7;1987;Before 2000;690;8734.8
Eurynorhynchus_pygmeus;Scolopaci+;Scolopacidae;30;1;0.04057971;0.05057971;YES;0.614339935;68.61;171.241;12;9;1976;Before 2000;16;172.5
Jacana_spinosa;Scolopaci+;Other;67;1;0.045155993;0.055155993;YES;0.772051024;10.27;-85.225;36;2;1980;Before 2000;148;1948.8
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;2;0.042955327;0.052955327;YES;0.655169156;68.61;171.241;12;9;1976;Before 2000;21;232.8
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;2;0.042641326;0.052641326;YES;0.629743553;68.61;171.241;12;9;1976;Before 2000;93;984.96
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;3;0.035087719;0.045087719;YES;0.552311168;68.61;171.241;12;9;1976;Before 2000;47;513
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;2;0.027728263;0.037728263;YES;0.511813949;68.61;171.241;12;9;1976;Before 2000;40;504.9
Pluvialis_squatarola;Charadrii;Charadriidae;86;3;0.005942653;0.015942653;YES;0.17241388;68.61;171.241;12;9;1976;Before 2000;28;504.825
Thinornis_novaeseelandiae;Charadrii;Charadriidae;95;1;0;0.01;YES;0;-44.347;-176.175;114;2;1984;Before 2000;53;928.29
Tringa_erythropus;Scolopaci+;Scolopacidae;97;1;0.008580009;0.018580009;YES;0.212681608;68.61;171.241;12;9;1976;Before 2000;15;233.1
Vanellus_miles;Charadrii;Charadriidae;107;2;0.007239;0.017239;YES;0.224530408;-46.419;168.288;60;5;1967;Before 2000;263;4420.5
Vanellus_miles;Charadrii;Charadriidae;107;3;0.042016807;0.052016807;YES;0.777399494;-27.536;152.92;108;2;1989;Before 2000;26;357
Vanellus_vanellus;Charadrii;Charadriidae;109;18;0.043468314;0.053468314;YES;0.747837679;49.589;13.069;52;4;1994;Before 2000;35;437.1
Calidris_mauri;Scolopaci+;Scolopacidae;17;1;0.02673;0.03673;NO;0.49;64.449;-164.977;2;3;1994;Before 2000;126;1071
Calidris_ptilocnemis;Scolopaci+;Scolopacidae;21;1;0.015952144;0.025952144;NO;0.320187303;66.066;-170.7;137;3;1979;Before 2000;35;501.5
Calidris_pusilla;Scolopaci+;Scolopacidae;22;2;0.03943284;0.04943284;NO;0.611490387;64.449;-164.977;2;3;1994;Before 2000;134;938
