species;clade;family;spec_nr;pop_nr;DPR_orig;DPR_trans;TPR_orig_100;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;2;0.092592593;1;0.927445785;92.7445785;47.606;-101.185;9;1;1975;Before 2000;23;194.4
Thinornis_novaeseelandiae;Charadrii;Charadriidae;95;1;0;1;0;0;-44.347;-176.175;114;2;1984;Before 2000;53;928.29
Thinornis_rubricollis;Charadrii;Charadriidae;96;2;0.011264721;1;0.288129633;28.8129633;-38.388;144.786;94;7;1994;Before 2000;149;1953
Thinornis_rubricollis;Charadrii;Charadriidae;96;1;0.042270531;1;0.726293245;72.6293245;-38.48;145.224;107;5;1994;Before 2000;70;828
Tringa_erythropus;Scolopaci+;Scolopacidae;97;1;0.008580009;1;0.212681608;21.2681608;68.61;171.241;12;9;1976;Before 2000;15;233.1
Tringa_glareola;Scolopaci+;Scolopacidae;98;2;0.005204945;1;0.129154976;12.9154976;61.713;132.077;148;5;1980;Before 2000;17;192.125
Tringa_glareola;Scolopaci+;Scolopacidae;98;1;0.01986755;0;0.412447938;41.2447938;67.733;29.617;141;18;1979;Before 2000;18;151
Tringa_nebularia;Scolopaci+;Scolopacidae;99;1;0.01812;1;0.4;40;58.533;-4.232;102;18;1992;Before 2000;24;275.925
Tringa_stagnatilis;Scolopaci+;Scolopacidae;100;1;0.005128205;1;0.125126861;12.5126861;61.713;132.077;148;1;1982;Before 2000;33;390
Tringa_totanus;Scolopaci+;Scolopacidae;101;1;0.007;0;0.177110263;17.7110263;52.308;5.526;134;10;1979;Before 2000;500;7000
Tringa_totanus;Scolopaci+;Scolopacidae;101;4;0.008095411;0;0.201932332;20.1932332;57.126;12.237;140;2;1986;Before 2000;35;700
Tringa_totanus;Scolopaci+;Scolopacidae;101;2;0.02345679;0;0.482466886;48.2466886;57.338;-7.385;125;3;1986;Before 2000;57;810
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;1;0.01610306;1;0.354881536;35.4881536;70.38;-149.534;73;4;1990;Before 2000;26;372.6
Vanellus_coronatus;Charadrii;Charadriidae;104;1;0;1;0;0;-17.799;31.021;49;1;1977;Before 2000;25;470.4
Vanellus_miles;Charadrii;Charadriidae;107;2;0.007239;1;0.224530408;22.4530408;-46.419;168.288;60;5;1967;Before 2000;263;4420.5
Vanellus_miles;Charadrii;Charadriidae;107;3;0.042016807;1;0.777399494;77.7399494;-27.536;152.92;108;2;1989;Before 2000;26;357
Vanellus_vanellus;Charadrii;Charadriidae;109;5;0.00488;0;0.140711303;14.0711303;59.95;16.283;142;3;1989;Before 2000;852;12746
Vanellus_vanellus;Charadrii;Charadriidae;109;4;0.005433727;0;0.155410733;15.5410733;57.592;11.976;99;4;1988;Before 2000;132;2259.9
Vanellus_vanellus;Charadrii;Charadriidae;109;3;0.013;0;0.333451535;33.3451535;52.308;5.526;134;10;1979;Before 2000;5000;65000
Vanellus_vanellus;Charadrii;Charadriidae;109;17;0.0140639;0;0.355368051;35.5368051;57.126;12.237;140;2;1986;Before 2000;54;1020
Vanellus_vanellus;Charadrii;Charadriidae;109;1;0.0224388;0;0.50516247;50.516247;54.575;-2.411;38;3;1986;Before 2000;718;9644.1
Vanellus_vanellus;Charadrii;Charadriidae;109;2;0.02252;0;0.51;51;49.115;14.268;26;10;1993;Before 2000;375;6883
Vanellus_vanellus;Charadrii;Charadriidae;109;8;0.02496773;0;0.543344519;54.3344519;51.385;0.805;39;1;1997;Before 2000;86;860
Vanellus_vanellus;Charadrii;Charadriidae;109;15;0.032118419;1;0.63651292;63.651292;53.053;-3.633;51;2;1984;Before 2000;152;2148.3
