species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Belt2;Longitude;Loc_nr;Continent;years_nr;mean_year;period_orig;period_minus5;period_plus5;N_nests;Exposure;research_intensity
Haematopus_ostralegus;Charadrii;Other;36;4;0.019746336;0.029746336;YES;0.43356964;43.356964;46.391;North temperate;4_North temperate;32.033;71;EUR;7;1987;before 2000;before 1995;before 2005;90;1316.7;1_small
Haematopus_ostralegus;Charadrii;Other;36;1;0.014;0.024;NO;0.330898389;33.0898389;52.308;North temperate;4_North temperate;5.526;134;EUR;10;1979;before 2000;before 1995;before 2005;500;6500;1_small
Haematopus_ostralegus;Charadrii;Other;36;3;0.120879121;0.130879121;NO;0.97456774;97.456774;56.264;North temperate;4_North temperate;16.445;124;EUR;1;2004;after 2000;after 1995;before 2005;25;182;1_small
Haematopus_ostralegus;Charadrii;Other;36;2;0.011251758;0.021251758;NO;0.275658877;27.5658877;57.338;North temperate;4_North temperate;-7.385;125;EUR;2;1996;before 2000;after 1995;before 2005;86;1422;1_small
Haematopus_palliatus;Charadrii;Other;41;1;0.03117506;0.04117506;NO;0.59769756;59.769756;30.865;North temperate;4_North temperate;-81.45;29;AME;2;2003;after 2000;after 1995;before 2005;30;417;2_medium
Haematopus_palliatus;Charadrii;Other;41;2;0.029813665;0.039813665;YES;0.581123821;58.1123821;-24.859;South tropics;2_South tropics;-47.726;119;AME;4;2006;after 2000;after 1995;after 2005;22;301.875;1_small
Haematopus_unicolor;Charadrii;Other;42;1;0.007936508;0.017936508;YES;0.199972159;19.9972159;-36.676;South temperate;1_South temperate;174.746;77;ASI;4;2008;after 2000;after 1995;after 2005;16;252;1_small
Himantopus_himantopus;Charadrii;Other;43;2;0.007065889;0.017065889;YES;0.178624123;17.8624123;-43.545;South temperate;1_South temperate;172.186;113;ASI;2;1982;before 2000;before 1995;before 2005;13;141.525;3_high
Himantopus_himantopus;Charadrii;Other;43;1;0.020334536;0.030334536;NO;0.43453087;43.453087;36.95;North temperate;4_North temperate;-6.233;35;EUR;2;1990;before 2000;before 1995;before 2005;233;3049;1_small
Himantopus_novaezelandiae;Charadrii;Other;44;1;0.038095238;0.048095238;YES;0.656337572;65.6337572;-43.862;South temperate;1_South temperate;170.45;24;ASI;3;1978;before 2000;before 1995;before 2005;27;288.75;1_small
Charadrius_alexandrinus;Charadrii;Charadriidae;45;6;0.033333333;0.043333333;YES;0.6258674;62.58674;15.2;North tropics;3_North tropics;-23.168;83;EUR;9;2011;after 2000;after 1995;after 2005;542;6960;3_high
Charadrius_alexandrinus;Charadrii;Charadriidae;45;5;0.079653156;0.089653156;YES;0.909927069;90.9927069;16.681;North tropics;3_North tropics;42.114;42;ASI;3;2008;after 2000;after 1995;after 2005;196;1983.6;3_high
Charadrius_alexandrinus;Charadrii;Charadriidae;45;4;0.047768324;0.057768324;YES;0.758155561;75.8155561;24.258;North tropics;3_North tropics;54.604;3;ASI;2;2005;after 2000;after 1995;after 2005;239;2679.6;3_high
Charadrius_alexandrinus;Charadrii;Charadriidae;45;3;0.073891626;0.083891626;YES;0.892057486;89.2057486;27.065;North tropics;3_North tropics;49.484;61;ASI;1;2015;after 2000;after 1995;after 2005;12;121.8;3_high
Charadrius_alexandrinus;Charadrii;Charadriidae;45;1;0.036695267;0.046695267;YES;0.66182062;66.182062;46.667;North temperate;4_North temperate;19.167;90;EUR;2;1991;before 2000;before 1995;before 2005;58;926.55;2_medium
Charadrius_alexandrinus;Charadrii;Charadriidae;45;2;0.052760505;0.062760505;YES;0.792348951;79.2348951;41.687;North temperate;4_North temperate;12.375;25;EUR;4;1992;before 2000;before 1995;before 2005;45;530.7;1_small
Charadrius_bicinctus;Charadrii;Charadriidae;47;2;0.011579818;0.021579818;YES;0.303069073;30.3069073;-43.545;South temperate;1_South temperate;172.186;113;ASI;2;1982;before 2000;before 1995;before 2005;127;1813.5;3_high
Charadrius_bicinctus;Charadrii;Charadriidae;47;1;0.012288787;0.022288787;YES;0.318400105;31.8400105;-44.333;South temperate;1_South temperate;170.194;104;ASI;3;1999;before 2000;after 1995;before 2005;39;651;2_medium
Charadrius_dubius;Charadrii;Charadriidae;48;1;0.027027027;0.037027027;NO;0.541992979;54.1992979;49.0343;North temperate;4_North temperate;14.799;135;EUR;5;2001;after 2000;after 1995;before 2005;73;740;3_high
Charadrius_dubius;Charadrii;Charadriidae;48;3;0;0.01;YES;0;0;50.195;North temperate;4_North temperate;15.977;105;EUR;10;1982;before 2000;before 1995;before 2005;40;487.35;2_medium
