species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Limosa_limosa;Scolopaci+;Scolopacidae;74;3;0.127;0.137;NO;0.974450372;52.293;106.501;122;1;2002;After 2000;21;110
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;2;0.049949376;0.059949376;NO;0.773715043;58.701;-93.802;56;4;2012;After 2000;138;1481.5
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;2;0.022059;0.032059;NO;0.394610729;64.79;177.637;138;1;2015;After 2000;27;272
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;4;0.031531532;0.041531532;NO;0.513678553;67.1;-163.5;23;3;2011;After 2000;35;444
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;1;0.060560933;0.070560933;NO;0.754786786;69.045;-135.048;82;6;2011;After 2000;122;1007.25
Pluvialis_dominica;Charadrii;Charadriidae;84;3;0.010568032;0.020568032;NO;0.290101094;58.701;-93.802;56;3;2013;After 2000;29;378.5
Pluvialis_dominica;Charadrii;Charadriidae;84;4;0.064653858;0.074653858;NO;0.88415999;73.2;-80;21;9;2009;After 2000;176;1639.5
Pluvialis_fulva;Charadrii;Charadriidae;85;2;0.023872679;0.033872679;NO;0.552193827;73.079;80.654;86;1;2002;After 2000;23;377
Pluvialis_fulva;Charadrii;Charadriidae;85;1;0.029118774;0.039118774;NO;0.625654229;62.543;177.076;87;8;2012;After 2000;57;652.5
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;2;0.015037594;0.025037594;NO;0.335751356;71.3;-156.6;10;1;2006;After 2000;19;266
Vanellus_chilensis;Charadrii;Charadriidae;106;2;0;0.01;NO;0;-25.45;-49.217;30;3;2013;After 2000;50;1399
Vanellus_gregarius;Charadrii;Charadriidae;105;1;0.025427275;0.035427275;NO;0.513817771;50.583;70.017;72;10;2009;After 2000;971;12427.6
Calidris_temminckii;Scolopaci+;Scolopacidae;24;1;0.038727902;0.048727902;YES;0.624517981;65.021;24.72;16;4;2004;After 2000;76;877.92
Charadrius_alexandrinus;Charadrii;Charadriidae;45;6;0.033333333;0.043333333;YES;0.6258674;15.2;-23.168;83;9;2011;After 2000;542;6960
Charadrius_alexandrinus;Charadrii;Charadriidae;45;4;0.047768324;0.057768324;YES;0.758155561;24.258;54.604;3;2;2005;After 2000;239;2679.6
Charadrius_alexandrinus;Charadrii;Charadriidae;45;3;0.073891626;0.083891626;YES;0.892057486;27.065;49.484;61;1;2015;After 2000;12;121.8
Charadrius_alexandrinus;Charadrii;Charadriidae;45;5;0.079653156;0.089653156;YES;0.909927069;16.681;42.114;42;3;2008;After 2000;196;1983.6
